Ablo	Абло
Salzer	Зальцер
Sambor	Самбор
Saradoc	Сарадок
Saul	Сол
Severin	Северін
Sharec	Шарець
Sigmun	Сигмун
Sigrid	Сігрід
Sigund	Сігунд
Simon	Саймон
Slager	Слагер
Sofia	Софія
Solis	Соліс
Stefan	Стефан
Stone	Стоун
Sunder	Сандер
Susanne	Сюзанна
Sven	Свен
Tara	Тара
Tengral	Тенграл
Terry	Террі
Tespi	Теспі
The Flail	Флейл
Thiago	Тьяго
Thomas the forger	Томас Вигадник
Thorsten	Торстен
Thulsa	Тульса
Till	Тілль
Timo	Тімо
Tohar	Тохар
Tollek	Толлек
Tom	Том
Tomas	Томас
Tonan	Тонан
Trimegisto	Трімегісто
Ulryk	Ульрік
Unicorn	Юнікорн
Urs	Урс
Urych	Уріх
Uwe	Уве
Varin	Варін
Veigo	Вейго
Veit	Вейт
Venzel	Венцель
Vicente	Вісенте
Viktor	Віктор
Vlada	Влада
Volker	Волкер
Vrazka	Вразка
Walter	Волтер
Weigar	Вейгар
Willem	Віллем
Winstan	Вінстан
Yannick	Яннік
Yellow Pfeiffer	Жовтий Пфайффер
Yezegan	Єзеган
Zachary	Захарій
Zacky	Закі
