%s - Poziom %d - Rozdział %d	%s - Рівень %d - Розділ %d
'Ciasto' z łajna	'Пиріг' з гною
Chlebowe smarowidło ze smoczego korzenia	Паштет з драконячого кореня
Chochol	Chochol
Chore szczury	Заражені щурі
Chory szczur	Заражений щур
Chory ścierwojad	Хворий падальник
Choć w środku tej wiekowej księgi brakuje wielu stron,	Хоча в цій старовинній книзі бракує багатьох сторінок,
Chroni przed obrażeniami od upadku.	Захищає від травм при падінні.
Chrupiący rarytas, rozpowszechniony wśród	Хрусткий делікатес, поширений серед
Chrupkie źródło białka, często ratuje przed	Хрустке джерело білка, часто рятує від
Chrust	Хмиз
Chrząszcz	М'ясний жук
Chwasty	Бур'яни
Chyba coś jest w środku.	Здається, всередині щось є!
Chyba nie znajdę więcej stron pod twierdzą.	Не думаю, що зможу знайти ще сторінки під фортецею.
Ciachacz	Різак
Ciastka z miodem	Медове печиво
Cicha śmierć	Тиха смерть
Ciekawe do kogo należała...	Цікаво, кому він належав...
Ciekawe, dokąd prowadzi.	Цікаво, куди він веде.
Ciemiężyciel	Гнобитель
Ciemne piwo	Темне пиво
Ciemne piwo autorskiej receptury Tomasa z Archolos.	Темне пиво за авторським рецептом Томаса з Архолосу.
Ciemność	Пітьма
Ciemny grzyb	Темний гриб
Ciemny i kleisty materiał.	Темний і липкий матеріал.
Ciemny strój marynarza	Темне вбрання моряка
Ciemny strój marynarza (100 SZ)	Темне вбрання моряка (100 золота)
Ciemny strój myśliwego	Темне вбрання мисливця
Ciemny strój podróżnika	Темне вбрання мандрівника
Ciemny strój podróżnika (150 SZ)	Темне вбрання мандрівника (150 золота)
Cienie Przeszłości - Muzeum	Тіні Минулого – Музей
Cieniostwór	Тінезвір
Cierń	Терн
Ciosaj Innosy	Вирізати фігурки Інносів
Ciężka jak cholera sterta drewna.	В біса важкий оберемок дров.
Ciężka kolczasta pałka	Важка колюча палиця
Ciężka kusza królewska	Важкий королівський арбалет
Ciężka pałka z kolcami	Важкий дрючок з шипами
Ciężka ryba	Важка рибина
Ciężka szata ognia	Важка мантія Вогню
Ciężka szata wody	Важка мантія Води
Ciężka torba pełna	Важкий гаманець, повний
Ciężka zbroja Straży Królewskiej	Важкий обладунок королівської гвардії
Ciężki miecz dwuręczny	Важкий дворучний меч
Ciężki orkowy topór	Важка сокира орків
Ciężki pancerz Południowca	Важкий південний обладунок
Ciężki pancerz Południowca (3000 SZ)	Важкий південний обладунок (3000 золота)
Ciężki pancerz Wilczego Syna	Важкий обладунок Вовчого Сина
Ciężki pancerz Wodnego Kręgu	Важкі обладунки Кільця Води
Ciężki pancerz bandyty	Важкий обладунок бандита
Ciężki pas kusznika straży	Важкий пояс вартового арбалетника
Ciężki pas mistrza przywołań	Важкий пояс майстра виклику
Ciężki pas myśliwski	Важкий мисливський пояс
Ciężki pas najemnika Araxos	Важкий пояс найманця Араксос
Ciężki pas szermierza straży	Важкий пояс вартового мечника
Ciężki pas łowcy Araxos	Важкий пояс мисливця Араксос
Ciężki skórzany mieszek, który wręczyła mi Helga.	Важкий шкіряний мішечок, який вручила мені Хельга.
Ciężki sztylet	Важкий кинджал
Ciężki worek	Важкий мішок
Ciężki łuk tropiciela	Важкий лук слідопита
Cmentarny golem	Могильний голем
Congrad Szperling - Ślusarz	Congrad Szperling - Ślusarz
Corios - Top 10 napisów na nagrobek	Corios – 'Топ-10 написів на надгробках'
Cutter - 'Pion na E4'	Cutter – 'Пішак на E4'
Cynamon	Кориця
Czar Paladyna	Заклинання паладина
Czarna harpia	Чорна гарпія
Czarna leśna bestia	Чорний лісовий хижак
Czarna perła	Чорна перлина
Czarna skała, którą łatwo zapalić.	Легкозаймистий чорний камінь.
Czarno-biały strój	Чорно-біле вбрання
Czarny Troll	Чорний троль
Czarny goblin	Чорний гоблін
Czarny niedźwiedź	Чорний ведмідь
Czarny szczur	Чорний щур
Czarny wilk	Чорний вовк
Czas Decyzji - Urząd	Час Рішень – Офіс
Czas Zapłaty - Lombard	Час Розплати – Ломбард
Czas przywołańca się skończył!	Час виклику минув!
Czasem używana do wytwarzania wyposażenia.	Іноді використовується для виготовлення спорядження.
Czasem używana przy wytwarzaniu wyposażenia.	Іноді використовується при виготовленні спорядження.
Czaszka	Череп
Czerstwy chleb to czasami jedyna rzecz,	Черствий хліб - це іноді єдине,
Czerwona sofa	Червоний диван
Czerwona szata noszona	Червона мантія, яку носять
Czerwony Valerio	Червоне вино Валеріо
Czerwony strój	Червоне вбрання
Czerwony strój z czapką	Червоне вбрання з капелюхом
Czerwony łuk	Червоний лук
Czujesz się osłabiony i zdezorientowany.	Ви відчуваєте себе ослабленим і розгубленим.
Czujesz się rześki i pełen energii.	Ви відчуваєте себе бадьорим і сповненим енергії.
Czujesz się rześko.	Ви відчуваєте себе бадьорим.
Czujesz się wyjątkowo lekko.	Ви відчуваєте надзвичайну легкість.
Czujesz, jak siła wypełnia twoje ciało!	Ви відчуваєте, як міць наповнює ваше тіло!
Czuję, że nie powinienem tego czytać...	Мені здається, що я не повинен це читати...
Czuć jak emanuje energią.	Можна відчути, як він випромінює енергію.
Czwarty krąg magii	Четверте Коло Магії
Czwarty krąg magii - Księga 1 z 5	Четверте Коло Магії - Книга 1 з 5
Czwarty krąg magii - Księga 2 z 5	Четверте Коло Магії - Книга 2 з 5
Czwarty krąg magii - Księga 3 z 5	Четверте Коло Магії - Книга 3 з 5
Czwarty krąg magii - Księga 4 z 5	Четверте Коло Магії - Книга 4 з 5
Czwarty krąg magii - Księga 5 z 5	Четверте Коло Магії - Книга 5 з 5
Czwarty tom z czterech.	Четвертий том з чотирьох.
Czwarty tom z pięciu.	Четвертий том з п'яти.
Czysta wersja mapy, bez żadnych oznaczeń.	Чиста версія мапи, без жодних позначок.
Czysty pergamin magiczny	Чистий магічний пергамент
Czysty wywar ze szczawiu królewskiego	Чистий відвар з царського щавлю
Czysty, niezapisany kawałek papieru.	Чистий аркуш паперу.
Często podawany przez gospodynie na śniadanie.	Часто подається господинями на сніданок.
Często spotykany minerał,	Широко розповсюджений мінерал,
Często używane przez	Часто використовується
Częsty składnik zup.	Поширений інгредієнт супів.
Część starej kroniki klasztornej	Частина старого монастирського літопису,
Część stron tego dziennika strawił ogień.	Деякі сторінки цього щоденника згоріли.
Część wykonana dla Einara.	Деталь, викувана для Ейнара.
Człowiek Andreasa	Людина Андреаса
Człowiek Holdwiga	Людина Гольдвіга
Człowiek Ramseya	Людина Рамзі
Człowiek Volkera	Людина Волкера
Człowiek z blizną	Людина зі шрамом
Daf - 'Bądź przeklęty, Leonzo!'	Daf – 'Та нехай тобі грець, Леонцо!'
Dalsze szkolenie wymaga awansu w Araxos!	Для подальшого навчання потрібне підвищення в Араксос!
Dalsze szkolenie wymaga awansu w straży!	Для подальшого навчання потрібне підвищення у Варті!
Danie często zjadane przez łowców przed polowaniem	Страва, яку часто їдять мисливці перед полюванням
Danie przyrządzane w dużych kotłach,	Страва, приготована у великому казані.
Danie spożywane jedynie przez najbogatszych.	Страва, яку їдять тільки найбагатші.
Dar od Bogów	Дар Богів
Delikatna skóra.	М'яка на дотик шкура.
Delikatne wino Ernesto	Делікатне вино Ернесто
Delikatne, owcze mięso.	Ніжне овече м'ясо.
Delikatnie zdobiony kompas.	Вишукано оздоблений компас.
Demon	Демон
Desagi	Desagi
Deser znany bardziej zamożnym,	Десерт, відомий більш заможним людям,
Deski	Дошки
Desperat	Зневірений
Destylator	Дистилятор
Determinacja	Рішучість
Dima oddała ci nadmiar sproszkowanej rudy.	Діна повернула вам надлишки рудного порошку.
Dla astrologów i żeglarzy to przydatny przyrząd,	Корисний інструмент для астрономів і моряків,
Dla jednych śmierdzące, a dla innych aromatyczne.	Смердюча для одних і ароматна для інших.
Dla odpowiedniego kolekcjonera	Для правильного колекціонера
Do 'Pękniętej Struny'	До 'Обірваної струни'
Do Bursztynowego Wybrzeża	До Бурштинового Узбережжя
Do Dzielnicy Rzemieślników	До Ремісничого кварталу
Do Kopalni Królewskiej	До Королівської Шахти
Do Mglistych Moczar	До Туманних боліт
Do Mrocznych Tajemnic	До Темних Секретів
Do Starego Miasta	До Старого міста
Do Targowiska	До ринкової площі
Do Targu Rybnego	До рибного ринку
Do Ustroni Żeglarza	До Прихистку моряка
Do Vardhal	До Вардхалу
Do Wilczego Leża	До Вовчого Лігва
Do Wybrzeża Topielców	До Узбережжя луркерів
Do biura skryby miejskiego	До міської писарської контори
Do boku przypięta jest mała karteczka.	Збоку прикріплена невеличка записка.
Do bramy wschodniej	До східних воріт
Do bramy zachodniej	До західних воріт
Do farmy Bermara	До ферми Бермара
Do kantoru Gildii Kupieckiej	До торгового пункту Торгової Гільдії
Do kaplicy Adanosa	До святилища Аданоса
Do kaplicy w wiosce Silbach.	Від каплиці в селі Сільбах.
Do klasztoru Magów Wody	До монастиря магів Води
Do kopalni Gildii Kupieckiej	До копальні Торгової Гільдії
Do koszar miejskich	До міських казарм
Do kościoła Innosa	До храму Інноса
Do kufra we wraku okrętu.	Від скрині на затопленому кораблі.
Do miasta	До міста
Do niczego się nie nadają.	Ні для чого не придатні.
Do obozu Pszczelarzy	До табору пасічників
Do obozu drwali	До табору лісорубів
Do obozu węglarzy	До табору вуглярів
Do pasieki	До пасіки
Do pokoju kultystów.	Від кімнати окультистів.
Do pokoju w tawernie.	Від кімнати в корчмі.
Do portu wschodniego	До східної частини порту
Do portu zachodniego	До західної частини порту
Do południowego bagna	До південного болота
Do przechowywania książek i dokumentów.	Для зберігання книг і документів.
Do przechowywania wielu książek i dokumentów.	Для зберігання більшої бількості книг і документів.
Do ratusza miejskiego	До міської ратуші
Do skrzyni pasterza.	Від скрині пастуха.
Do starej skrzyni.	Від старої скрині
Do stoczni	До корабельні
Do tawerny 'Syreni Lament'	До корчми 'Плач Сирени'
Do wieży sygnałowej	До сигнальної вежі
Do winnicy	До виноградників
Do winnicy Rity	До виноградника Рити
Do winnicy Valerio	До виноградника Валеріо
Do wioski Silbach	До села Сільбах
Do wschodniej bramy miasta	До східних міських воріт
Do zachodniej bramy miasta	До західних міських воріт
Do zamku	До фортеці
Dobra alternatywa dla dywanu!	Хороша альтернатива килиму!
Dobry dwuręczny miecz strażnika	Хороший дворучний меч вартового
Dobry długi miecz	Хороший довгий меч
Dobry krótki miecz	Хороший короткий меч
Dobry miecz półtoraręczny	Хороший полуторний меч
Dobry miecz strażnika	Хороший меч вартового
Dodaje i zwiększa pasywną regenerację many.	Підвищує пасивне відновлення мани.
Dojrzałe wino Ernesto	Зріле вино Ернесто
Dojrzewające wino	Багаторічне вино
Doktor Plaga	Doktor Plaga
Dokument o Glenwyr	Документ про Гленвір
Dokument opisuje tereny łowieckie	Документ описує мисливські угіддя
Dokument opowiadający o Glenwyr.	Документ, що розповідає історію Гленвіра.
Dokument potwierdza opłacenie	Документ підтверджує оплату
Dokument potwierdzający, że	Документ, який підтверджує, що
Dokument poświadczający obywatelstwo	Посвідчення про громадянство
Dokument umożliwiający mi zejście	Документ, що дозволяє мені спуститися
Dokument wygląda na bardzo stary.	Документ виглядає дуже старим.
Dokument wygląda na stary.	Цей документ виглядає старим.
Dokument zawiera informacje na temat	Документ містить інформацію про
Dokument, który miała przy sobie Mia.	Документ, який мала при собі Мія.
Dokładne informacje na temat warty Arethe.	Точна інформація про несення варти від Арета.
Dokładnie spisana historia	Детально написана історія
Dola Marynarza	Доля моряка
Dolina Złota - Pracownia jubilerska	Золота Долина – Ювелірна майстерня
Dolina Świtu - Sklep meblowy	Долина Світанку – Меблевий магазин
Dom Lokvara	Будинок Локвара
Domokrążca	Мандрівний торговець
Domyślna poza	Поза за замовчуванням
Doniczka z urokliwymi roślinami.	Квітковий горщик з чарівними рослинами.
Dorlay - 'Gobliny powstaną'	Dorlay – 'Гобліни повстануть'
Dorodne rośliny	Плодовиті рослини
Dorodne, zielone warzywo.	Стиглий зелений овоч.
Dorodny krzak winogron	Великий кущ винограду
Dorodny owoc zwany złotem Archolos.	Стигла ягода, яку ще називають 'золотом Архолосу'.
Dostałem go od Saula podczas turnieju.	Я отримав його від Сола під час турніру.
Dostałem je od Lorenzo.	Я отримав його від Лоренцо.
Dostałem ją od Venzela.	Я отримав її від Венцеля.
Dostałem ten dokument od skryby Mateya.	Я отримав цей документ від писаря Матея.
Dosyć makabryczna pamiątka.	Досить моторошний сувенір.
Dowolne mięso	Будь-яке м'ясо
Dowolne smażone mięso	Будь-яке смажене м'ясо
Dowolne surowe mięso	Будь-яке сире м'ясо
Dowolne warzywo	Будь-які овочі
Dość prosty pierścień wykonany ze srebra.	Досить простий перстень, зроблений зі срібла.
Drastycznie, ale nic nie może się zmarnować.	Радикально, але нічого не має пропадати даремно.
Drewniana podobizna Innosa.	Дерев'яна фігурка Інноса
Drewniana skrzyneczka	Дерев'яна скринька
Drewniana szufla do	Дерев'яна лопатка для
Drewniana ławka	Дерев'яна лавка
Drewniany miecz	Дерев'яний меч
Drewniany moździerz	Дерев'яна ступа
Drewniany ścierwojad	Дерев'яний падальник
Drewno	Дрова
Drewno do wyrobu broni	Деревина для виготовлення зброї
Drewno jest tak złej jakości, że do niczego się nie nada.	Деревина настільки низької якості, що ні на що не годиться.
Drewno od Knuta	Деревина від Кнута
Drewno pracowników stoczni	Деревина робітників корабельні
Drewno wykradzione	Деревина, вкрадена
Drugi krąg magii	Друге Коло Магії
Drugi krąg magii - Księga 1 z 3	Друге Коло Магії - Книга 1 з 3
Drugi krąg magii - Księga 2 z 3	Друге Коло Магії - Книга 2 з 3
Drugi krąg magii - Księga 3 z 3	Друге Коло Магії - Книга 3 з 3
Drugi tom z czterech.	Другий том з чотирьох.
Drugi tom z dwóch.	Другий том з двох.
Drugi tom z pięciu.	Другий том з п'яти.
Drugi tom z trzech.	Другий том з трьох.
Drugi z trzech tomów służących do zgłębiania	Другий з трьох томів, для вивчення
Drwal	Лісоруб
Duch	Дух
Duma Archolos	Гордість Архолосу
Duma pszczelarzy, którzy często kłócą się o to,	Гордість бджолярів, які часто сперечаються про те,
Duża bryłka najczystszego srebra.	Великий самородок найчистішого срібла.
Duża bryłka srebra	Великий срібний самородок
Duża i wytrzymała sieć.	Велика і міцна сітка.
Duża kusza	Великий арбалет
Duża skóra niedźwiedzia	Велика шкура ведмедя
