Skrzynia	Ящик
Obrona przed ostrzami:	Захист від ріжучого:
Obrona przed obuchami:	Захист від тупого:
Obrona przed strzałami:	Захист від стріл:
Obrona przed ogniem:	Захист від вогню:
Obrona przed magią:	Захист від магії:
Obrona przed wszystkim:	ЗАХИСТ
Obrona przed obuchem i strzałami:	Захист від тупого і стріл:
Obrona przed wszystkimi broniami:	Захист від зброї:
Ochrona przed magią i ogniem:	Захист від магії і вогню:
Odnowa punktów trafień:	Відновлення здоров'я:
Odnowa many:	Відновлення мани:
Broń jednoręczna	Одноручна зброя
Broń dwuręczna	Дворучна зброя
Uleczenie:	Зцілення:
Premia za nostalgię:	Бонус ностальгії:
Potrzebuje całej many.	Витрачає всю ману:
Słowa nie zabijają	Закляття не може вбити
Minimalne obrażenia:	Мінімальна шкода:
Módl się.	Помолитись.
Miecz	Меч
Długi miecz magiczny	Довгий магічний меч
Magiczny miecz dwuręczny	Дворучний магічний меч
Magiczne ostrze z czystej rudy	Магічний меч з чистої руди
Ciężki magiczny miecz dwuręczny	Важкий магічний дворучний меч
Miecz półtoraręczny pokryty rudą	Вкритий рудою полуторний меч
Ciężkie magiczne ostrze bojowe	Важкий магічний бойовий клинок
Magiczne ostrze na smoki	Магічний клинок 'Вбивця драконів'
Antyczne Ostrze na Prastare Bestie	Стародавній клинок 'Вбивця древніх чудовиськ'
Dobry miecz	Хороший меч
Dobry długi miecz	Хороший довгий меч
Rubinowe Ostrze	Рубіновий клинок
El Bastardo	Ель Бастардо
Koszt	Вартість
PN	Оч. навчання
Pozyskiwanie skorup oraz płytek pełzaczy	Вилучення панцирів і пластин повзунів
Pozyskiwanie żuwaczek	Вилучення мандибул
Wyrywanie kłów	Видалення зубів
Wyrywanie pazurów	Видалення кігтів
Języki jaszczurów	Вилучення язиків ящерів
Skóry gadów	Зняття шкіри рептилій
Rogi cieniostworów	Вилучення рогів мракорисів
Wyrywanie gruczołów jadowych	Вилучення отруйних залоз
Pozyskiwanie sadła	Збір жиру
Wyrywanie skrzydeł krwiopijców	Видалення крил шершнів
Serca magicznych istot	Вилучення сердець магічних істот
Za mało Punktów Nauki!	Недостатньо очків навчання!
Zwój	Сувій
Doświadczenie	Досвід
Kolejny poziom!	Подвищення рівня!
Za daleko	Задалеко
Przyjmij	Прийняти
Odrzuć	Відхилити
(Poznany)	(Вивчено)
Bryłka złota	Золотий самородок
Bryłki złota	Золотих самородків
Wytworzono	Виготовлено
Nauka: nasiona roślin z zwierząt	Вивчено: вилучення насіння у тварин
